Date	Time	IP	User	Table	Action	Key field	Field	Old value	New value
Nov 30,2023	00:01:54	189.202.91.200	edgar_gomez	registro	add	1957	texto		----------------------------------------------------------------------------------- • 231129.1600.3 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • Post-it              MEGA\MEGAsync\The Hitckhikers\180416\NEW\TTL\CA\Post-it  • TTL FILE         MEGA\MEGAsync\The Hitckhikers\180416\NEW\
Nov 30,2023	00:01:54	189.202.91.200	edgar_gomez	registro	add	1957	tipo_de_documento		11
Nov 30,2023	00:19:02	189.202.91.200	edgar_gomez	registro	edit	1957	texto	----------------------------------------------------------------------------------- • 231129.1600.3 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • Post-it              MEGA\MEGAsync\The Hitckhikers\180416\NEW\TTL\CA\Post-it  • TTL FILE         MEGA\MEGAsync\The Hitckhikers\180416\NEW\TTL\CA\TTL FAST   Color & Copy     MEGA\MEGAsync\The Hitckhikers\180416\NEW\TTL\CA\TTL Color & Copy • TTL  • DCVH•0000•231129•R168074     -----------------------------------------------------------------------------------  17M:    R168074                 --     DTS:    3C6URVJG7GE108074                         --                        --                       --  STTS:              -- $$$ :                  --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 231129.1600.3 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • Post-it              MEGA\MEGAsync\The Hitckhikers\180416\NEW\TTL\CA\Post-it  • TTL FILE         MEGA\MEGAsync\The Hitckhikers\180416\NEW\
Nov 30,2023	00:42:49	189.202.91.200	edgar_gomez	registro	add	1958	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entida
Nov 30,2023	00:42:49	189.202.91.200	edgar_gomez	registro	add	1958	tipo_de_documento		9
Nov 30,2023	00:44:16	189.202.91.200	edgar_gomez	registro	edit	1958	texto	----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp  • RPV                                 http://www2.repuve.gob.mx:8080/ciudadania/  • T.C.                                  https://dof.gob.mx/indicadores.php#gsc.tab=0  • DCVH•0000•000000•N910520     -----------------------------------------------------------------------------------  17M:    N910520                 --     DTS:   1N6HD12H3MC380520                          --               1991 Nissan Truck V6             VIN: 1N6HD12H3MC380520             Style / Body: Regular Cab 2D             Engine: 3.0L V6 FI             Country of Assembly:              United States          --           --           --           --           --                       -- 3262 1001875 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0                      --  STTS:              -- $$$ :                  -- O//O:          --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 231129.1643.3 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://en
Nov 30,2023	00:46:58	189.202.91.200	edgar_gomez	registro	edit	1958	texto	----------------------------------------------------------------------------------- • 231129.1643.3 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp  • RPV                                 http://www2.repuve.gob.mx:8080/ciudadania/  • T.C.                                  https://dof.gob.mx/indicadores.php#gsc.tab=0  • DCVH•0000•231129•N910520     -----------------------------------------------------------------------------------  17M:    N910520                 --     DTS:   1N6HD12H3MC380520 • ¥            1N6HD12H3MC380520 • AUTOCHECK                         --               1991 Nissan Truck V6             VIN: 1N6HD12H3MC380520             Style / Body: Regular Cab 2D             Engine: 3.0L V6 FI             Country of Assembly:              United States          --           --           --           --           --                       -- 3262 1001875 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0                      --  STTS:              -- $$$ :                  -- O//O:          --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 231129.1643.3 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://en
Nov 30,2023	01:02:45	189.202.91.200	edgar_gomez	registro	edit	1958	texto	----------------------------------------------------------------------------------- • 231129.1643.3 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp  • RPV                                 http://www2.repuve.gob.mx:8080/ciudadania/  • T.C.                                  https://dof.gob.mx/indicadores.php#gsc.tab=0  • DCVH•0000•231129•N910520     -----------------------------------------------------------------------------------  17M:    N910520                 --     DTS:   1N6HD12H3MC380520 • ¥            1N6HD12H3MC380520 • AUTOCHECK                         --               1991 Nissan Truck V6             VIN: 1N6HD12H3MC380520             Style / Body: Regular Cab 2D             Engine: 3.0L V6 FI             Country of Assembly:              United States          --            REDJ790107 JOSE LUIS REYES DOMINGUEZ          --            C JOSE MARIA CANAL 4941 C.P. 44250 JA GUADALAJARA          --           --             1991  1N6HD12H3MC380520           --            03 24 3512 3006048           -- 3512 3006048 A1 REDJ790107 0000000000000 BNP71V0N           1.000         1516            0             0    0            0                      --  STTS:              -- $$$ :                  -- O//O:          --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 231129.1643.3 • ¥ • Documentacion Vehicular • Aldo Gómez Pérez • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     h
Nov 30,2023	01:35:47	189.202.91.200	edgar_gomez	registro	add	1959	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entida
Nov 30,2023	01:35:47	189.202.91.200	edgar_gomez	registro	add	1959	tipo_de_documento		9
