Date	Time	IP	User	Table	Action	Key field	Field	Old value	New value
May 05,2023	19:41:19	189.202.91.200	edgar_gomez	users	login
May 05,2023	19:51:07	189.202.91.200	edgar_gomez	registro	add	1521	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     -- 
May 05,2023	19:51:07	189.202.91.200	edgar_gomez	registro	add	1521	tipo_de_documento		1
May 05,2023	19:55:34	189.202.91.200	edgar_gomez	registro	add	1522	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     -- 
May 05,2023	19:55:34	189.202.91.200	edgar_gomez	registro	add	1522	tipo_de_documento		1
May 05,2023	19:55:42	189.202.91.200	edgar_gomez	registro	add	1523	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     -- 
May 05,2023	19:55:42	189.202.91.200	edgar_gomez	registro	add	1523	tipo_de_documento		1
May 05,2023	19:58:32	189.202.91.200	edgar_gomez	registro	add	1524	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     -- 
May 05,2023	19:58:32	189.202.91.200	edgar_gomez	registro	add	1524	tipo_de_documento		1
May 05,2023	20:03:04	189.202.91.200	edgar_gomez	registro	add	1525	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     -- 
May 05,2023	20:03:04	189.202.91.200	edgar_gomez	registro	add	1525	tipo_de_documento		1
May 05,2023	20:39:07	189.202.91.200	edgar_gomez	registro	edit	1524	texto	----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     --     DTS:   3HAMMMMLXFL602042                          --                        --                       --  STTS:              -- $$$ :                  -- O//O:   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .       •      •      •      •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 230505.1328.5 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•I152042     -----------------------------------------------------------------------------------  17M:   I152042          
May 05,2023	21:16:42	189.202.91.200	edgar_gomez	registro	edit	1524	texto	----------------------------------------------------------------------------------- • 230505.1328.5 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•I152042     -----------------------------------------------------------------------------------  17M:   I152042                  --     DTS:   3HAMMMMLXFL602042                          --             2015 International             DuraStar 4300            VIN: 3HAMMMMLXFL602042            Style / Body: Chassis 2D            Engine: 6.7L I6 CRDI            Country of Assembly: Mexico            --            390 TECATE, B.C. 1776 1000789 HSBC 11109905009775 24014.00 2021-04-20 11:27:00 032101JCU7P130885281 PAGO REGISTRADO EN SAAI          --            1000789 1776 DESADUANADO 2021-04-20 12:02:34 0 141448357          --              141-448357          --            PAGADO                                                                                        20/04/2021 11:27:00            SELECCIÓN AUTOMATIZADA DESADUANAMIENTO LIBRE     20/04/2021 12:02:34            DESADUANADO/CUMPLIDO DESADUANADO                           20/04/2021 12:02:34              --  STTS:              -- $$$ :                  -- O//O:   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .       •      •      •      •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 230505.1328.5 • ¥ • Documentacion Vehicular • Leonardo Virgen • Cliente Operador • DCVH•0000•230505•I152042     -----------------------------------------------------------------------------------  17M:   I152042   
May 05,2023	21:32:45	189.202.91.200	edgar_gomez	registro	edit	1523	texto	----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     --     DTS:   1GDG6H1P8MJ508591                          --                        --                       --  STTS:              -- $$$ :                  -- O//O:   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .       •      •      •      •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 230505.1418.5 • ¥ • Documentacion Vehicular • Operador • Cliente Operador • DCVH•0000•230505•G918591     -----------------------------------------------------------------------------------  17M:    G918591         
