Date	Time	IP	User	Table	Action	Key field	Field	Old value	New value
Jul 08,2024	20:23:26	189.202.91.8	edgar_gomez	users	login
Jul 08,2024	20:23:36	189.202.91.8	edgar_gomez	registro	add	2461	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entida
Jul 08,2024	20:23:36	189.202.91.8	edgar_gomez	registro	add	2461	tipo_de_documento		9
Jul 08,2024	20:38:37	189.202.91.8	edgar_gomez	registro	add	2462	texto		----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entida
Jul 08,2024	20:38:37	189.202.91.8	edgar_gomez	registro	add	2462	tipo_de_documento		9
Jul 08,2024	21:23:33	189.202.91.8	edgar_gomez	registro	edit	2461	texto	----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp  • RPV                                 http://www2.repuve.gob.mx:8080/ciudadania/  • T.C.                                  https://dof.gob.mx/indicadores.php#gsc.tab=0  • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     --     DTS:   • ¥ •            • AUTOCHECK •            • PLATES •                         --           --                          IMPORTADOR EXPORTADOR              RFC                CURP                    NAME         --            ADRESS          --             FRACCION: • R1 •                   00000000          --             FRACCION: • R1 •                   00000000          --             TIPO DE CAMBIO: • A1 •         00.00000          --             TIPO DE CAMBIO: • R1 •         00.00000          --             Número de Integración:  12345678          --            Nº DE SERIE DEL CERTIFICADO:  0000100000000000000            No. de transacción SAT:                   0000100000000000000           --            Número operación:                            000-000000          --              SO3A • A1 •          --              SO3A • R1 •          --            Clave del prevalidador:   58          --              CLAVE     COMPLEMENTO               1    ED   0               2    ED   0              3    ED   0              4    ED  0              5    ED   0              6    ED   0              7    ED   0              8    ED   0              9    ED   0             10   ED   0             11   ED   0             12   ED   0             13   VF   0          --                                                                                                                                               00,00.00                SO1A • A1 •          --                                                                                                                                               00,00.00                SO1A • R1 •          --              SO2A • A1 •          --              SO2A • R1 •          --              RECORD RED         --             A1 •          -- 3262 1001875 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --              RECORD RED          --          R1 •          -- 3262 1005366 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --                          AGENTE O APODERADO ADUANAL              RFC                CURP                NAME           --            NUMERO DE SERIE DEL CERTIFICADO:   00001000000413644882           --  STTS:              -- $$$ :                  -- O//O:          --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 240708.1323.1 • ¥ • • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://
Jul 08,2024	21:43:09	189.202.91.8	edgar_gomez	registro	edit	2461	texto	----------------------------------------------------------------------------------- • 240708.1323.1 • ¥ • • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp  • RPV                                 http://www2.repuve.gob.mx:8080/ciudadania/  • T.C.                                  https://dof.gob.mx/indicadores.php#gsc.tab=0  • DCVH•0000•240708•D166037     -----------------------------------------------------------------------------------  17M:   D166037                  --     DTS:    1C4RDHAGXGC416037  • ¥ •            • AUTOCHECK •            • PLATES •                         --            2016 Dodge Durango SXT / SXT Plus           VIN: 1C4RDHAGXGC416037           Style / Body: SUV 4D           Engine: 3.6L V6 SMPI Gasoline           Country of Assembly: United States          --                          IMPORTADOR EXPORTADOR              RFC                CURP                    NAME         --            ADRESS          --             FRACCION: • R1 •                   00000000          --             FRACCION: • R1 •                   00000000          --             TIPO DE CAMBIO: • A1 •         00.00000          --             TIPO DE CAMBIO: • R1 •         00.00000          --             Número de Integración:  12345678          --            Nº DE SERIE DEL CERTIFICADO:  0000100000000000000            No. de transacción SAT:                   0000100000000000000           --            Número operación:                            000-000000          --              SO3A • VF •                  PAGADO                                                                                              26/06/2024 18:31:06             SELECCIÓN AUTOMATIZADA  DESADUANAMIENTO LIBRE         27/06/2024 10:11:28             DESADUANADO/CUMPLIDO    DESADUANADO                             27/06/2024 10:11:28             DESADUANADO/CUMPLIDO    CUMPLIDO                                      27/06/2024 10:11:28           --              SO3A • R1 •          --            Clave del prevalidador:   58          --              CLAVE     COMPLEMENTO               1    ED   0               2    ED   0              3    ED   0              4    ED  0              5    ED   0              6    ED   0              7    ED   0              8    ED   0              9    ED   0             10   ED   0             11   ED   0             12   ED   0             13   VF   0          --                                                                                                                                               00,00.00                SO1A • A1 •          --                                                                                                                                               00,00.00                SO1A • R1 •          --              SO2A • A1 •          --              SO2A • R1 •          --              RECORD RED         --             A1 •          -- 3262 1001875 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --              RECORD RED          --          R1 •          -- 3262 1005366 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --                          AGENTE O APODERADO ADUANAL              RFC                CURP                NAME           --            NUMERO DE SERIE DEL CERTIFICADO:   00001000000413644882           --  STTS:              -- $$$ :                  -- O//O:          --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 240708.1323.1 • ¥ • • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://
Jul 08,2024	22:11:28	189.202.91.8	edgar_gomez	registro	edit	2461	texto	----------------------------------------------------------------------------------- • 240708.1323.1 • ¥ • • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp  • RPV                                 http://www2.repuve.gob.mx:8080/ciudadania/  • T.C.                                  https://dof.gob.mx/indicadores.php#gsc.tab=0  • DCVH•0000•240708•D166037     -----------------------------------------------------------------------------------  17M:   D166037                  --     DTS:    1C4RDHAGXGC416037  • ¥ •            • AUTOCHECK •            • PLATES •                         --            2016 Dodge Durango SXT / SXT Plus           VIN: 1C4RDHAGXGC416037           Style / Body: SUV 4D           Engine: 3.6L V6 SMPI Gasoline           Country of Assembly: United States          --                          IMPORTADOR EXPORTADOR              RFC                CURP                    NAME         --            ADRESS          --             FRACCION: • R1 •                   00000000          --             FRACCION: • R1 •                   00000000          --             TIPO DE CAMBIO: • A1 •         00.00000          --             TIPO DE CAMBIO: • R1 •         00.00000          --             Número de Integración:  12345678          --            Nº DE SERIE DEL CERTIFICADO:  0000100000000000000            No. de transacción SAT:                   0000100000000000000           --            Número operación:                            418-066449          --              SO3A • VF •                  PAGADO                                                                                              26/06/2024 18:31:06                                                                                                                          27-06-2024 10:11:19               SELECCIÓN AUTOMATIZADA  DESADUANAMIENTO LIBRE         27/06/2024 10:11:28             DESADUANADO/CUMPLIDO    DESADUANADO                             27/06/2024 10:11:28             DESADUANADO/CUMPLIDO    CUMPLIDO                                      27/06/2024 10:11:28           --              SO3A • R1 •          --            Clave del prevalidador:   58          --              CLAVE     COMPLEMENTO               1    ED   0               2    ED   0              3    ED   0              4    ED  0              5    ED   0              6    ED   0              7    ED   0              8    ED   0              9    ED   0             10   ED   0             11   ED   0             12   ED   0             13   VF   0          --                                                                                                                                               00,00.00                SO1A • A1 •          --                                                                                                                                               00,00.00                SO1A • R1 •          --              SO2A • A1 •          --              SO2A • R1 •          --              RECORD RED         --             A1 • 24 40 5377  4002601          -- 3262 1001875 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --              RECORD RED          --          R1 •          -- 3262 1005366 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --                          AGENTE O APODERADO ADUANAL              RFC                CURP                NAME           --            NUMERO DE SERIE DEL CERTIFICADO:   00001000000413644882           --  STTS:              -- $$$ :                  -- O//O:          --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 240708.1323.1 • ¥ • • Documentacion Vehicular • Anthony Hoskins III • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2 
Jul 08,2024	22:24:46	189.202.91.8	edgar_gomez	registro	edit	2462	texto	----------------------------------------------------------------------------------- • 777777.7777.7 • Documentacion Vehicular • Operador • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     http://entidades.sesnsp.gob.mx:8046/repuve/login.jsp  • RPV                                 http://www2.repuve.gob.mx:8080/ciudadania/  • T.C.                                  https://dof.gob.mx/indicadores.php#gsc.tab=0  • DCVH•0000•000000•0000000     -----------------------------------------------------------------------------------  17M:                     --     DTS:   • ¥ •            • AUTOCHECK •            • PLATES •                         --           --                          IMPORTADOR EXPORTADOR              RFC                CURP                    NAME         --            ADRESS          --             FRACCION: • R1 •                   00000000          --             FRACCION: • R1 •                   00000000          --             TIPO DE CAMBIO: • A1 •         00.00000          --             TIPO DE CAMBIO: • R1 •         00.00000          --             Número de Integración:  12345678          --            Nº DE SERIE DEL CERTIFICADO:  0000100000000000000            No. de transacción SAT:                   0000100000000000000           --            Número operación:                            000-000000          --              SO3A • A1 •          --              SO3A • R1 •          --            Clave del prevalidador:   58          --              CLAVE     COMPLEMENTO               1    ED   0               2    ED   0              3    ED   0              4    ED  0              5    ED   0              6    ED   0              7    ED   0              8    ED   0              9    ED   0             10   ED   0             11   ED   0             12   ED   0             13   VF   0          --                                                                                                                                               00,00.00                SO1A • A1 •          --                                                                                                                                               00,00.00                SO1A • R1 •          --              SO2A • A1 •          --              SO2A • R1 •          --              RECORD RED         --             A1 •          -- 3262 1001875 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --              RECORD RED          --          R1 •          -- 3262 1005366 A1 ZAFF3905138R4 0000000000000 BNP71V0N           1.000         1516            0             0    0            0          --                          AGENTE O APODERADO ADUANAL              RFC                CURP                NAME           --            NUMERO DE SERIE DEL CERTIFICADO:   00001000000413644882           --  STTS:              -- $$$ :                  -- O//O:          --   •      •      •     •       •      •     •      •      •      •      •      •      •      •      •      • . - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .0. - .      •       •      •      •     •      •      •      •      •      •      •      •      •      •      •	----------------------------------------------------------------------------------- • 240708.1338.1 • ¥ •  • Documentacion Vehicular • Sharah Connor • Cliente Operador • Cliente Operador • RCRD                              http://apps.bcs.gob.mx/pedimento/pedimento.php  • Entidades • (u21156)2     h
